Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.98,0.98,0.98,1.00,0.98
2,0.97,0.97,0.97,0.98,0.97
3,0.95,0.95,0.96,0.96,0.96
4,0.94,0.94,0.94,0.95,0.95
5,0.93,0.93,0.93,0.94,0.93
6,0.92,0.90,0.92,0.92,0.92
7,0.90,0.89,0.90,0.91,0.92
8,0.90,0.88,0.89,0.91,0.91
9,0.87,0.87,0.88,0.90,0.91
10,0.87,0.86,0.87,0.87,0.91
11,0.86,0.85,0.86,0.87,0.91
12,0.85,0.84,0.85,0.86,0.90
13,0.84,0.83,0.84,0.84,0.90
14,0.83,0.82,0.83,0.83,0.90
15,0.81,0.81,0.83,0.82,0.89
16,0.81,0.81,0.82,0.81,0.89
17,0.80,0.80,0.80,0.81,0.88
18,0.79,0.79,0.79,0.80,0.88
19,0.79,0.79,0.77,0.79,0.87
20,0.78,0.78,0.76,0.79,0.87
21,0.77,0.77,0.75,0.78,0.86
22,0.76,0.77,0.74,0.77,0.86
23,0.75,0.76,0.73,0.76,0.85
24,0.74,0.74,0.72,0.75,0.84
25,0.73,0.74,0.71,0.74,0.84
26,0.73,0.73,0.70,0.73,0.83
27,0.72,0.73,0.70,0.73,0.82
28,0.71,0.72,0.69,0.72,0.82
29,0.70,0.71,0.68,0.71,0.81
30,0.70,0.71,0.68,0.70,0.80
31,0.69,0.70,0.67,0.69,0.79
32,0.68,0.69,0.66,0.69,0.78
33,0.67,0.69,0.66,0.68,0.78
34,0.66,0.68,0.65,0.67,0.78
35,0.65,0.67,0.65,0.66,0.77
36,0.65,0.66,0.64,0.65,0.75
37,0.64,0.65,0.64,0.64,0.75
38,0.64,0.65,0.63,0.64,0.75
39,0.63,0.63,0.62,0.63,0.75
40,0.63,0.63,0.61,0.63,0.74
41,0.62,0.63,0.60,0.63,0.74
42,0.62,0.62,0.60,0.62,0.74
43,0.62,0.62,0.59,0.62,0.73
44,0.61,0.61,0.59,0.61,0.72
45,0.60,0.60,0.59,0.61,0.72
46,0.60,0.59,0.58,0.60,0.71
47,0.59,0.59,0.57,0.60,0.71
48,0.59,0.59,0.56,0.59,0.71
49,0.58,0.58,0.55,0.59,0.70
50,0.58,0.58,0.55,0.58,0.69
51,0.57,0.58,0.54,0.58,0.69
52,0.57,0.57,0.53,0.58,0.68
53,0.56,0.56,0.53,0.57,0.68
54,0.56,0.56,0.52,0.56,0.67
55,0.55,0.55,0.52,0.55,0.67
56,0.55,0.55,0.51,0.55,0.66
57,0.54,0.55,0.50,0.54,0.66
58,0.53,0.55,0.49,0.54,0.65
59,0.52,0.54,0.49,0.53,0.65
60,0.52,0.53,0.48,0.52,0.64
61,0.52,0.53,0.48,0.52,0.64
62,0.51,0.52,0.48,0.52,0.63
63,0.50,0.52,0.47,0.51,0.63
64,0.50,0.51,0.47,0.50,0.61
65,0.49,0.51,0.46,0.49,0.60
66,0.48,0.50,0.46,0.48,0.60
67,0.47,0.50,0.45,0.48,0.59
68,0.47,0.49,0.45,0.47,0.59
69,0.47,0.49,0.44,0.47,0.59
