Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,0.61,0.61,0.61,0.61,0.61
1,0.61,0.61,0.61,0.61,0.61
2,0.61,0.61,0.61,0.61,0.61
3,0.61,0.61,0.61,0.61,0.61
4,0.61,0.61,0.61,0.60,0.61
5,0.60,0.60,0.61,0.60,0.61
6,0.60,0.60,0.61,0.60,0.61
7,0.60,0.60,0.61,0.60,0.60
8,0.60,0.60,0.61,0.60,0.60
9,0.60,0.60,0.61,0.60,0.60
10,0.60,0.60,0.61,0.60,0.60
11,0.60,0.60,0.61,0.60,0.60
12,0.60,0.60,0.60,0.60,0.60
13,0.60,0.60,0.60,0.59,0.60
14,0.59,0.59,0.60,0.59,0.60
15,0.59,0.59,0.60,0.59,0.60
16,0.59,0.59,0.60,0.59,0.60
17,0.59,0.59,0.60,0.59,0.60
18,0.59,0.59,0.60,0.59,0.60
19,0.59,0.59,0.60,0.59,0.60
20,0.59,0.59,0.60,0.59,0.60
21,0.59,0.59,0.60,0.59,0.60
22,0.59,0.59,0.60,0.59,0.60
23,0.59,0.59,0.60,0.58,0.60
24,0.59,0.59,0.60,0.58,0.60
25,0.58,0.58,0.60,0.58,0.60
26,0.58,0.58,0.60,0.58,0.60
27,0.58,0.58,0.60,0.58,0.60
28,0.58,0.58,0.60,0.58,0.60
29,0.58,0.58,0.60,0.58,0.60
30,0.58,0.58,0.60,0.58,0.60
31,0.58,0.58,0.60,0.58,0.60
32,0.58,0.58,0.60,0.58,0.60
33,0.58,0.58,0.60,0.58,0.60
34,0.58,0.58,0.60,0.58,0.60
35,0.58,0.58,0.60,0.58,0.59
36,0.58,0.57,0.60,0.57,0.59
37,0.58,0.57,0.60,0.57,0.59
38,0.57,0.57,0.60,0.57,0.59
39,0.57,0.57,0.60,0.57,0.59
40,0.57,0.57,0.60,0.57,0.59
41,0.57,0.57,0.60,0.57,0.59
42,0.57,0.57,0.60,0.57,0.59
43,0.57,0.57,0.60,0.57,0.59
44,0.57,0.57,0.60,0.57,0.59
45,0.57,0.57,0.60,0.57,0.59
46,0.57,0.57,0.60,0.57,0.59
47,0.57,0.57,0.60,0.57,0.59
48,0.57,0.57,0.60,0.57,0.59
49,0.57,0.57,0.60,0.57,0.59
50,0.57,0.57,0.60,0.56,0.59
51,0.57,0.56,0.60,0.56,0.59
52,0.57,0.56,0.60,0.56,0.59
53,0.56,0.56,0.60,0.56,0.59
54,0.56,0.56,0.59,0.56,0.59
55,0.56,0.56,0.59,0.56,0.59
56,0.56,0.56,0.59,0.56,0.59
57,0.56,0.56,0.59,0.56,0.59
58,0.56,0.56,0.59,0.56,0.59
59,0.56,0.56,0.59,0.56,0.59
60,0.56,0.56,0.59,0.56,0.59
61,0.56,0.56,0.59,0.56,0.59
62,0.56,0.56,0.59,0.56,0.58
