id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
2300705;1100205;PORTO VELHO;1200401;RIO BRANCO;30761
2402808;1100205;PORTO VELHO;1302603;MANAUS;62860
5307204;1200401;RIO BRANCO;1200203;CRUZEIRO DO SUL;38017
4855303;1302603;MANAUS;1304062;TABATINGA;24342
2503103;1302603;MANAUS;1200401;RIO BRANCO;38653
2603812;1302603;MANAUS;1301209;COARI;52045
3607003;1302603;MANAUS;2304400;FORTALEZA;67734
4607160;1302603;MANAUS;3304557;RIO DE JANEIRO;103800
2804005;1302603;MANAUS;1501402;BELÉM;136020
4821403;1302603;MANAUS;3550308;SÃO PAULO;278094
6602711;1302603;MANAUS;5300108;BRASÍLIA;322065
2606006;1303403;PARINTINS;1302603;MANAUS;32630
2606806;1304203;TEFÉ;1302603;MANAUS;24803
2702703;1400100;BOA VISTA;1302603;MANAUS;76336
3002004;1500602;ALTAMIRA;1501402;BELÉM;39188
5020202;1501402;BELÉM;3550308;SÃO PAULO;59149
3008209;1501402;BELÉM;1506807;SANTARÉM;96981
6801510;1501402;BELÉM;5300108;BRASÍLIA;290332
3005610;1504208;MARABÁ;1501402;BELÉM;32762
6804316;1504208;MARABÁ;5300108;BRASÍLIA;39667
2809410;1506807;SANTARÉM;1302603;MANAUS;54655
6900411;1600303;MACAPÁ;5300108;BRASÍLIA;53408
3101705;1600303;MACAPÁ;1501402;BELÉM;308242
6929707;1721000;PALMAS;5208707;GOIÂNIA;23466
4216602;2111300;SÃO LUÍS;2105302;IMPERATRIZ;24367
4812806;2111300;SÃO LUÍS;5002704;CAMPO GRANDE;49427
3612702;2111300;SÃO LUÍS;1501402;BELÉM;64166
4415700;2111300;SÃO LUÍS;2304400;FORTALEZA;166778
5661608;2111300;SÃO LUÍS;3550308;SÃO PAULO;231179
7411408;2111300;SÃO LUÍS;5300108;BRASÍLIA;270703
4515401;2211001;TERESINA;2304400;FORTALEZA;149096
6619302;2304400;FORTALEZA;4314902;PORTO ALEGRE;22584
5422276;2304400;FORTALEZA;3106200;BELO HORIZONTE;28123
3805802;2304400;FORTALEZA;1501402;BELÉM;94721
5823200;2304400;FORTALEZA;3550308;SÃO PAULO;414205
5008710;2408102;NATAL;2605459;FERNANDO DE NORONHA;36389
7703359;2408102;NATAL;5300108;BRASÍLIA;124405
4707651;2408102;NATAL;2304400;FORTALEZA;127963
5014857;2408102;NATAL;2611606;RECIFE;166522
5922051;2408102;NATAL;3550308;SÃO PAULO;297498
5115615;2504009;CAMPINA GRANDE;2611606;RECIFE;22841
5806364;2507507;JOÃO PESSOA;3304557;RIO DE JANEIRO;34586
6020607;2507507;JOÃO PESSOA;3550308;SÃO PAULO;48419
7801915;2507507;JOÃO PESSOA;5300108;BRASÍLIA;56707
5113413;2507507;JOÃO PESSOA;2611606;RECIFE;140246
5217065;2605459;FERNANDO DE NORONHA;2611606;RECIFE;79418
5222707;2611101;PETROLINA;2611606;RECIFE;109614
3914209;2611606;RECIFE;1302603;MANAUS;21105
4722906;2611606;RECIFE;2111300;SÃO LUÍS;31690
4113008;2611606;RECIFE;1501402;BELÉM;34610
5729482;2611606;RECIFE;3106200;BELO HORIZONTE;58924
5319307;2611606;RECIFE;2704302;MACEIÓ;71830
7911714;2611606;RECIFE;5300108;BRASÍLIA;282985
4916006;2611606;RECIFE;2304400;FORTALEZA;294494
5539014;2611606;RECIFE;2927408;SALVADOR;306910
5916163;2611606;RECIFE;3304557;RIO DE JANEIRO;390163
6012258;2704302;MACEIÓ;3304557;RIO DE JANEIRO;57082
6226501;2704302;MACEIÓ;3550308;SÃO PAULO;123445
5508009;2800308;ARACAJU;2704302;MACEIÓ;20963
5411914;2800308;ARACAJU;2611606;RECIFE;33756
6031482;2913606;ILHÉUS;3106200;BELO HORIZONTE;21007
5841014;2913606;ILHÉUS;2927408;SALVADOR;83437
6463914;2913606;ILHÉUS;3550308;SÃO PAULO;122645
5852711;2925303;PORTO SEGURO;2927408;SALVADOR;86638
6475611;2925303;PORTO SEGURO;3550308;SÃO PAULO;343143
7242310;2927408;SALVADOR;4314902;PORTO ALEGRE;39889
5330659;2927408;SALVADOR;2408102;NATAL;56098
5231808;2927408;SALVADOR;2304400;FORTALEZA;148497
5635109;2927408;SALVADOR;2704302;MACEIÓ;190626
5727716;2927408;SALVADOR;2800308;ARACAJU;220939
6045284;2927408;SALVADOR;3106200;BELO HORIZONTE;221898
6231965;2927408;SALVADOR;3304557;RIO DE JANEIRO;634387
6482815;2932507;UNA;3550308;SÃO PAULO;24713
6245577;3106200;BELO HORIZONTE;3127701;GOVERNADOR VALADARES;46807
6276829;3106200;BELO HORIZONTE;3158953;SANTANA DO PARAÍSO;67476
6276406;3106200;BELO HORIZONTE;3170206;UBERLÂNDIA;72806
6043179;3106200;BELO HORIZONTE;2925303;PORTO SEGURO;111475
6323185;3106200;BELO HORIZONTE;3205309;VITÓRIA;202595
8417984;3106200;BELO HORIZONTE;5300108;BRASÍLIA;463370
6422433;3106200;BELO HORIZONTE;3304557;RIO DE JANEIRO;620801
6286654;3127701;GOVERNADOR VALADARES;3158953;SANTANA DO PARAÍSO;21481
6687010;3136702;JUIZ DE FORA;3550308;SÃO PAULO;23761
6249502;3143302;MONTES CLAROS;3106200;BELO HORIZONTE;63005
6288082;3170206;UBERLÂNDIA;3106200;BELO HORIZONTE;38888
6132717;3205309;VITÓRIA;2927408;SALVADOR;31848
6311509;3205309;VITÓRIA;3106200;BELO HORIZONTE;42601
6509866;3205309;VITÓRIA;3304557;RIO DE JANEIRO;565528
5415857;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;21093
6104865;3304557;RIO DE JANEIRO;2800308;ARACAJU;38258
6229860;3304557;RIO DE JANEIRO;2925303;PORTO SEGURO;43790
4805959;3304557;RIO DE JANEIRO;1501402;BELÉM;81478
5707808;3304557;RIO DE JANEIRO;2408102;NATAL;133381
7412861;3304557;RIO DE JANEIRO;4108304;FOZ DO IGUAÇU;169785
6814059;3304557;RIO DE JANEIRO;3509502;CAMPINAS;191492
7430063;3304557;RIO DE JANEIRO;4106902;CURITIBA;199945
5608957;3304557;RIO DE JANEIRO;2304400;FORTALEZA;215052
7619459;3304557;RIO DE JANEIRO;4314902;PORTO ALEGRE;380203
8604665;3304557;RIO DE JANEIRO;5300108;BRASÍLIA;948008
6854865;3304557;RIO DE JANEIRO;3550308;SÃO PAULO;3823617
7053112;3502804;ARAÇATUBA;3550308;SÃO PAULO;25931
7055808;3505500;BARRETOS;3550308;SÃO PAULO;30439
7056311;3506003;BAURU;3550308;SÃO PAULO;48635
6436910;3509502;CAMPINAS;2927408;SALVADOR;36756
6627378;3509502;CAMPINAS;3106200;BELO HORIZONTE;125454
7079313;3529005;MARÍLIA;3550308;SÃO PAULO;27314
5729801;3550308;SÃO PAULO;2211001;TERESINA;25686
7730106;3550308;SÃO PAULO;4211306;NAVEGANTES;28306
7091714;3550308;SÃO PAULO;3541406;PRESIDENTE PRUDENTE;28677
7864408;3550308;SÃO PAULO;4314100;PASSO FUNDO;37484
6052115;3550308;SÃO PAULO;2507507;JOÃO PESSOA;37622
7632500;3550308;SÃO PAULO;4113700;LONDRINA;44369
6319108;3550308;SÃO PAULO;2800308;ARACAJU;52963
5051710;3550308;SÃO PAULO;1501402;BELÉM;84258
6258009;3550308;SÃO PAULO;2704302;MACEIÓ;88952
7855416;3550308;SÃO PAULO;4305108;CAXIAS DO SUL;133996
7100113;3550308;SÃO PAULO;3549805;SÃO JOSÉ DO RIO PRETO;165837
8658710;3550308;SÃO PAULO;5103403;CUIABÁ;166787
5854708;3550308;SÃO PAULO;2304400;FORTALEZA;188760
7759410;3550308;SÃO PAULO;4209102;JOINVILLE;286787
6720514;3550308;SÃO PAULO;3170206;UBERLÂNDIA;341292
7093710;3550308;SÃO PAULO;3543402;RIBEIRÃO PRETO;390076
6755617;3550308;SÃO PAULO;3205309;VITÓRIA;446238
8759015;3550308;SÃO PAULO;5208707;GOIÂNIA;588148
7755715;3550308;SÃO PAULO;4205407;FLORIANÓPOLIS;641568
6823357;3550308;SÃO PAULO;3304557;RIO DE JANEIRO;785410
6130406;3550308;SÃO PAULO;2611606;RECIFE;830535
6446208;3550308;SÃO PAULO;2927408;SALVADOR;1298546
6668184;3550308;SÃO PAULO;3106200;BELO HORIZONTE;1577325
7675814;3550308;SÃO PAULO;4106902;CURITIBA;1597895
7865210;3550308;SÃO PAULO;4314902;PORTO ALEGRE;1726731
8850416;3550308;SÃO PAULO;5300108;BRASÍLIA;1778334
8230314;4106902;CURITIBA;4104808;CASCAVEL;20272
7635008;4106902;CURITIBA;3509502;CAMPINAS;129986
8239206;4106902;CURITIBA;4113700;LONDRINA;173517
9425614;4106902;CURITIBA;5300108;BRASÍLIA;186636
9408412;4108304;FOZ DO IGUAÇU;5300108;BRASÍLIA;25563
8233810;4108304;FOZ DO IGUAÇU;4106902;CURITIBA;196585
7627104;4108304;FOZ DO IGUAÇU;3550308;SÃO PAULO;367240
7664008;4113700;LONDRINA;3550308;SÃO PAULO;217847
7665508;4115200;MARINGÁ;3550308;SÃO PAULO;123774
8240706;4115200;MARINGÁ;4106902;CURITIBA;124626
8409609;4204202;CHAPECÓ;4205407;FLORIANÓPOLIS;39876
8330913;4205407;FLORIANÓPOLIS;4106902;CURITIBA;42645
7509964;4205407;FLORIANÓPOLIS;3304557;RIO DE JANEIRO;69011
9505515;4205407;FLORIANÓPOLIS;5300108;BRASÍLIA;87603
8520309;4205407;FLORIANÓPOLIS;4314902;PORTO ALEGRE;197644
7724207;4205407;FLORIANÓPOLIS;3550308;SÃO PAULO;253847
7761614;4211306;NAVEGANTES;3550308;SÃO PAULO;410674
7240205;4314902;PORTO ALEGRE;2925303;PORTO SEGURO;22179
8526208;4314902;PORTO ALEGRE;4211306;NAVEGANTES;22844
6926508;4314902;PORTO ALEGRE;2611606;RECIFE;47331
7824404;4314902;PORTO ALEGRE;3509502;CAMPINAS;55589
8440408;4314902;PORTO ALEGRE;4106902;CURITIBA;359741
7704713;5002704;CAMPO GRANDE;5003207;CORUMBÁ;23940
6815206;5002704;CAMPO GRANDE;4113700;LONDRINA;27616
7809908;5002704;CAMPO GRANDE;5103403;CUIABÁ;46097
8001614;5002704;CAMPO GRANDE;5300108;BRASÍLIA;71448
6251814;5002704;CAMPO GRANDE;3550308;SÃO PAULO;385675
8754816;5204508;CALDAS NOVAS;3550308;SÃO PAULO;114481
10508815;5208707;GOIÂNIA;5300108;BRASÍLIA;301677
8225411;5300108;BRASÍLIA;2925303;PORTO SEGURO;23654
6700208;5300108;BRASÍLIA;1400100;BOA VISTA;38023
7405410;5300108;BRASÍLIA;2105302;IMPERATRIZ;38277
8505417;5300108;BRASÍLIA;3205309;VITÓRIA;70572
8100416;5300108;BRASÍLIA;2800308;ARACAJU;71625
6500608;5300108;BRASÍLIA;1200401;RIO BRANCO;74306
8007809;5300108;BRASÍLIA;2704302;MACEIÓ;90927
7511109;5300108;BRASÍLIA;2211001;TERESINA;112269
10408510;5300108;BRASÍLIA;5103403;CUIABÁ;120010
7021108;5300108;BRASÍLIA;1721000;PALMAS;155611
6400313;5300108;BRASÍLIA;1100205;PORTO VELHO;162388
9615010;5300108;BRASÍLIA;4314902;PORTO ALEGRE;173460
8809610;5300108;BRASÍLIA;3509502;CAMPINAS;180034
7604508;5300108;BRASÍLIA;2304400;FORTALEZA;297133
8227516;5300108;BRASÍLIA;2927408;SALVADOR;356922
