id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Carga (Kg)
600150995;1200401;RIO BRANCO;1200203;CRUZEIRO DO SUL;285338
989018867;1302603;MANAUS;4108304;FOZ DO IGUAÇU;248091
1033500389;1302603;MANAUS;5002704;CAMPO GRANDE;275112
926203776;1302603;MANAUS;3205309;VITÓRIA;275465
1037730538;1302603;MANAUS;5103403;CUIABÁ;423016
596439804;1302603;MANAUS;1100205;PORTO VELHO;643146
674796476;1302603;MANAUS;1400100;BOA VISTA;643427
805584023;1302603;MANAUS;2111300;SÃO LUÍS;662772
698641821;1302603;MANAUS;1506807;SANTARÉM;1330559
667067311;1501402;BELÉM;1200401;RIO BRANCO;324312
634934479;1501402;BELÉM;1100205;PORTO VELHO;358386
751401845;1501402;BELÉM;1504208;MARABÁ;867652
877434685;1501402;BELÉM;2111300;SÃO LUÍS;1141648
752049822;1501402;BELÉM;1506807;SANTARÉM;2181424
774637860;1501402;BELÉM;1600303;MACAPÁ;2817084
697477625;1501402;BELÉM;1302603;MANAUS;4976872
879277926;2111300;SÃO LUÍS;1506807;SANTARÉM;307403
1054148367;2111300;SÃO LUÍS;2105302;IMPERATRIZ;567669
1391027301;2304400;FORTALEZA;3509502;CAMPINAS;311791
789175776;2304400;FORTALEZA;1200203;CRUZEIRO DO SUL;314779
1152925542;2304400;FORTALEZA;2307304;JUAZEIRO DO NORTE;446997
789261377;2304400;FORTALEZA;1200401;RIO BRANCO;484583
911072542;2304400;FORTALEZA;1506807;SANTARÉM;493959
744671526;2304400;FORTALEZA;1100205;PORTO VELHO;580396
1128367271;2304400;FORTALEZA;2211001;TERESINA;1347540
1101813918;2304400;FORTALEZA;2111300;SÃO LUÍS;1495357
1177554990;2304400;FORTALEZA;2408102;NATAL;1622149
909093738;2304400;FORTALEZA;1501402;BELÉM;3393604
832191809;2304400;FORTALEZA;1302603;MANAUS;4815105
1278337976;2611606;RECIFE;2504009;CAMPINA GRANDE;247260
1304264439;2611606;RECIFE;2605459;FERNANDO DE NORONHA;442548
1305676737;2611606;RECIFE;2611101;PETROLINA;521328
1279249027;2611606;RECIFE;2507507;JOÃO PESSOA;595996
955510339;2611606;RECIFE;1506807;SANTARÉM;632039
1252864435;2611606;RECIFE;2408102;NATAL;741605
1167476919;2611606;RECIFE;2111300;SÃO LUÍS;750510
1626912717;2611606;RECIFE;4314902;PORTO ALEGRE;898123
953334025;2611606;RECIFE;1501402;BELÉM;1643448
869111948;2611606;RECIFE;1302603;MANAUS;2065630
1224202099;2611606;RECIFE;2304400;FORTALEZA;7557420
1375733889;2704302;MACEIÓ;2800308;ARACAJU;574467
1744122888;2927408;SALVADOR;4314902;PORTO ALEGRE;265850
1226631213;2927408;SALVADOR;2111300;SÃO LUÍS;302564
1463177560;2927408;SALVADOR;2925303;PORTO SEGURO;403074
992414717;2927408;SALVADOR;1501402;BELÉM;432832
1709133912;2927408;SALVADOR;4106902;CURITIBA;460140
1321241467;2927408;SALVADOR;2408102;NATAL;514422
1596067714;2927408;SALVADOR;3509502;CAMPINAS;629707
1460245346;2927408;SALVADOR;2913606;ILHÉUS;698650
1405717856;2927408;SALVADOR;2704302;MACEIÓ;766461
1431223901;2927408;SALVADOR;2800308;ARACAJU;981582
1507077478;2927408;SALVADOR;3106200;BELO HORIZONTE;1852923
901475301;2927408;SALVADOR;1302603;MANAUS;2746700
1289404923;2927408;SALVADOR;2304400;FORTALEZA;3887032
1380252206;2927408;SALVADOR;2611606;RECIFE;3954106
1503411066;3106200;BELO HORIZONTE;2913606;ILHÉUS;283761
1768567669;3106200;BELO HORIZONTE;4106902;CURITIBA;305492
1577488175;3106200;BELO HORIZONTE;3205309;VITÓRIA;419932
1647779043;3106200;BELO HORIZONTE;3509502;CAMPINAS;947430
1418755822;3106200;BELO HORIZONTE;2611606;RECIFE;1000551
1322945196;3106200;BELO HORIZONTE;2304400;FORTALEZA;1111592
1700951085;3300704;CABO FRIO;3509502;CAMPINAS;358754
1078173990;3304557;RIO DE JANEIRO;1600303;MACAPÁ;286477
1288237705;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;296972
1324685341;3304557;RIO DE JANEIRO;2211001;TERESINA;299998
1358661161;3304557;RIO DE JANEIRO;2307304;JUAZEIRO DO NORTE;322115
1515803773;3304557;RIO DE JANEIRO;2800308;ARACAJU;424661
2021841349;3304557;RIO DE JANEIRO;5208707;GOIÂNIA;481787
1850475866;3304557;RIO DE JANEIRO;4205407;FLORIANÓPOLIS;687063
1425689704;3304557;RIO DE JANEIRO;2507507;JOÃO PESSOA;799709
1487224130;3304557;RIO DE JANEIRO;2704302;MACEIÓ;887649
1701973728;3304557;RIO DE JANEIRO;3509502;CAMPINAS;1006884
1601154895;3304557;RIO DE JANEIRO;3106200;BELO HORIZONTE;1144270
1392995857;3304557;RIO DE JANEIRO;2408102;NATAL;1296483
1032357639;3304557;RIO DE JANEIRO;1501402;BELÉM;1503180
1831149811;3304557;RIO DE JANEIRO;4106902;CURITIBA;1907282
934312214;3304557;RIO DE JANEIRO;1302603;MANAUS;2667721
1627088221;3304557;RIO DE JANEIRO;3205309;VITÓRIA;2797069
1871371656;3304557;RIO DE JANEIRO;4314902;PORTO ALEGRE;3099076
1357653686;3304557;RIO DE JANEIRO;2304400;FORTALEZA;3529934
1552285129;3304557;RIO DE JANEIRO;2927408;SALVADOR;3870386
1458749680;3304557;RIO DE JANEIRO;2611606;RECIFE;4198205
2035466690;3304557;RIO DE JANEIRO;5300108;BRASÍLIA;4454481
1675257627;3509502;CAMPINAS;3205309;VITÓRIA;853650
949997523;3509502;CAMPINAS;1302603;MANAUS;1618723
839921663;3550308;SÃO PAULO;1100205;PORTO VELHO;252840
1764893534;3550308;SÃO PAULO;3509502;CAMPINAS;271990
1772925706;3550308;SÃO PAULO;3541406;PRESIDENTE PRUDENTE;316868
1904489293;3550308;SÃO PAULO;4108304;FOZ DO IGUAÇU;338345
1924842703;3550308;SÃO PAULO;4204202;CHAPECÓ;347727
1905969895;3550308;SÃO PAULO;4115200;MARINGÁ;361191
1945722463;3550308;SÃO PAULO;4305108;CAXIAS DO SUL;404630
1504560526;3550308;SÃO PAULO;2611101;PETROLINA;408556
1603821885;3550308;SÃO PAULO;2925303;PORTO SEGURO;482115
1159120291;3550308;SÃO PAULO;1721000;PALMAS;499000
1773425819;3550308;SÃO PAULO;3543402;RIBEIRÃO PRETO;573629
1775028241;3550308;SÃO PAULO;3549805;SÃO JOSÉ DO RIO PRETO;713064
1905648065;3550308;SÃO PAULO;4113700;LONDRINA;723637
1103086321;3550308;SÃO PAULO;1600303;MACAPÁ;753461
