UF;CodUF;Codmundv;Codmun;nomemun;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24
RO;11;1100122;110012;Ji-Paraná;69648;23102;116610;1401586,325;3A;Centro Subregional A;;;;;;;;;;;4780;27716;23671;413839;13428;220996;471;07:13:54
RO;11;1100205;110020;Porto Velho;555742;3645354;428527;6607641,725;2B;Capital Regional B;43451;792973;64281;856362;85172;1479890;158466;6227626;219306;9987375;157335;3563357;199079;5194059;291558;8025225;392;06:05:15
RO;11;1100304;110030;Vilhena;45962;12937;76202;1187763,541;3B;Centro Subregional B;;;;;;;;;13927;62038;11277;78426;19578;519485;9377;137400;577;07:30:26
AC;12;1200203;120020;Cruzeiro Do Sul;81246;267082;78507;684349,281;3B;Centro Subregional B;;;;;;;9145;724607;26810;1850453;29419;3088252;33936;2280458;50906;3018011;815;10:16:50
AC;12;1200401;120040;Rio Branco;295309;1134327;336038;3837370,734;2C;Capital Regional C;59809;179872;21917;225770;43978;721993;85039;5502288;109514;1671212;104243;2922474;161067;5713044;196496;5473245;425;07:01:05
AM;13;1300409;130040;Barcelos;5187;875;25718;77717,203;5;Centro Local;;;;;;;;;;;2606;8627;6375;93555;8703;141211;;
AM;13;1300508;130050;Barreirinha;37;0;27355;101256,612;5;Centro Local;;;;;;;;;;;;;;;152;3239;;
AM;13;1300706;130070;Boca Do Acre;84;0;30632;149755,41;5;Centro Local;;;;;;;;;;;4259;31000;;;;;;
AM;13;1300805;130080;Borba;1521;9;34961;119983,048;5;Centro Local;;;;;;;;;;;1328;1161;4582;53503;1241;11659;;
AM;13;1301001;130100;Carauari;20707;364;25774;120910,095;4B;Centro de Zona B;;;;;;;;;;;;;19391;253249;25729;309363;;
AM;13;1301209;130120;Coari;159912;9076;75965;1103350,094;5;Centro Local;;;;;;;;;9572;1330140;51041;1025697;59339;720466;85331;683834;;
AM;13;1301407;130140;Eirunepé;9439;5855;30665;123005,436;4B;Centro de Zona B;;;;;;;;;;;14950;766576;7978;153524;4714;94410;;
AM;13;1301605;130160;Fonte Boa;4428;4762;22817;115856,544;5;Centro Local;;;;;;;;;;;;;1379;13932;1251;20235;;
AM;13;1301704;130170;Humaitá;11265;14125;44227;225637,432;5;Centro Local;;;;;;;;;;;;;11890;194095;3897;69662;;
AM;13;1302405;130240;Lábrea;12463;10140;37701;394562,352;4B;Centro de Zona B;;;;;;;;;;;4744;63196;15225;482052;7640;149916;;
AM;13;1302603;130260;Manaus;2171153;103488125;1802014;40486106,537;1C;Metrópole;178636;7206039;333119;19290046;500010;33128534;710289;85409732;1164754;119618428;862856;116716790;991219;71627232;1353853;96705227;389;05:28:00
AM;13;1303403;130340;Parintins;84877;45940;102033;460521,751;3B;Centro Subregional B;;;;;;;;;;;4784;10041;32641;397799;40567;520452;756;10:26:00
AM;13;1303601;130360;Santa Isabel Do Rio Negro;5916;2470;18146;56945,616;5;Centro Local;;;;;;;;;;;2575;8584;3188;47704;4716;84456;;
AM;13;1303809;130380;São Gabriel Da Cachoeira;12995;3388;37896;202045,267;5;Centro Local;;;;;;;;;;;3553;8206;12608;207958;9079;148643;;
AM;13;1303908;130390;São Paulo De Olivença;4033;3054;31422;109349,29;5;Centro Local;;;;;;;;;;;;;;;4306;71245;;
AM;13;1304062;130406;Tabatinga;31373;18565;52272;202660,986;4A;Centro de Zona A;;;;;;;15072;33451;22364;65141;16678;170364;;;28151;605646;1368;18:27:20
AM;13;1304203;130420;Tefé;36839;17448;61453;293563,501;3B;Centro Subregional B;;;;;;;6405;34841;11919;47306;20356;145805;21946;385780;38970;796064;857;09:12:41
RR;14;1400100;140010;Boa Vista;170534;763881;284313;4090496,917;2C;Capital Regional C;20638;236386;33535;596691;39609;585344;58173;2200882;146982;3331134;90117;1418279;90255;2198144;128701;2614032;571;07:49:13
PA;15;1500503;150050;Almeirim;9839;925;33614;345153,567;4A;Centro de Zona A;;;;;;;;;;;24243;187961;70690;1000760;23703;352259;;
PA;15;1500602;150060;Altamira;105837;61833;99075;608372,779;3B;Centro Subregional B;;;;;;;11016;264121;18235;273936;31790;530337;50888;1008638;55523;804072;629;08:51:02
PA;15;1501402;150140;Belém;2145670;15975225;1393399;16526989,006;1C;Metrópole;227511;5172781;292711;7690705;509549;11886354;708568;20156530;919286;21490867;859808;19449013;970088;33238473;1404014;35373256;336;04:14:08
PA;15;1502707;150270;Conceição Do Araguaia;1351;15439;45557;230119,13;4A;Centro de Zona A;;;;;;;;;;;2575;14620;;;;;;
PA;15;1503606;150360;Itaituba;44492;8990;97493;604472,24;3B;Centro Subregional B;;;;;;;;;;;12507;105818;43801;712499;40695;637253;;
PA;15;1504208;150420;Marabá;232463;944827;233669;3058908,921;2C;Capital Regional C;;;;;;;25045;320335;29358;295791;28426;203452;76830;1433076;87535;1618465;410;05:13:44
PA;15;1505304;150530;Oriximiná;46411;19166;62794;852071,453;5;Centro Local;;;;;;;;;10055;933781;10358;104653;20634;399917;18702;318715;;
PA;15;1505437;150543;Ourilândia Do Norte;7692;41781;27359;218164,866;5;Centro Local;;;;;;;;;;;;;3101;36454;10;146;;
PA;15;1505536;150553;Parauapebas;29497;39099;153908;5617969,341;4A;Centro de Zona A;;;;;;;20031;421160;8367;94415;23563;236886;17814;390770;35298;443719;;
PA;15;1506138;150613;Redenção;4226;65531;75556;573767,694;3A;Centro Subregional A;;;;;;;;;;;6677;81358;4686;42381;31;366;;
PA;15;1506708;150670;Santana Do Araguaia;658;14283;56153;286106,016;5;Centro Local;;;;;;;;;;;861;4189;;;;;;
