id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
4650513;1100205;PORTO VELHO;3550308;SÃO PAULO;32693
2402808;1100205;PORTO VELHO;1302603;MANAUS;63479
2503103;1200401;RIO BRANCO;1302603;MANAUS;27075
2702703;1302603;MANAUS;1400100;BOA VISTA;64040
3607003;1302603;MANAUS;2304400;FORTALEZA;64368
4821403;1302603;MANAUS;3550308;SÃO PAULO;167213
3001905;1500503;ALMEIRIM;1501402;BELÉM;22952
3002004;1501402;BELÉM;1500602;ALTAMIRA;22211
3612702;1501402;BELÉM;2111300;SÃO LUÍS;52074
3008209;1501402;BELÉM;1506807;SANTARÉM;57387
2804005;1501402;BELÉM;1302603;MANAUS;110422
6801510;1501402;BELÉM;5300108;BRASÍLIA;147477
3005610;1504208;MARABÁ;1501402;BELÉM;21142
2809410;1506807;SANTARÉM;1302603;MANAUS;22991
3101705;1600303;MACAPÁ;1501402;BELÉM;151300
4515401;2211001;TERESINA;2304400;FORTALEZA;31618
5410600;2304400;FORTALEZA;3106200;BELO HORIZONTE;21732
3805802;2304400;FORTALEZA;1501402;BELÉM;45754
4415700;2304400;FORTALEZA;2111300;SÃO LUÍS;46563
4916006;2304400;FORTALEZA;2611606;RECIFE;71081
4707651;2304400;FORTALEZA;2408102;NATAL;85669
5608957;2304400;FORTALEZA;3304557;RIO DE JANEIRO;130906
7604508;2304400;FORTALEZA;5300108;BRASÍLIA;139576
5823200;2304400;FORTALEZA;3550308;SÃO PAULO;297686
5507505;2408102;NATAL;3106200;BELO HORIZONTE;23776
7703359;2408102;NATAL;5300108;BRASÍLIA;32874
5330659;2408102;NATAL;2927408;SALVADOR;34070
5014857;2408102;NATAL;2611606;RECIFE;43285
5707808;2408102;NATAL;3304557;RIO DE JANEIRO;47382
5922051;2408102;NATAL;3550308;SÃO PAULO;73327
6020607;2507507;JOÃO PESSOA;3550308;SÃO PAULO;20890
5113413;2507507;JOÃO PESSOA;2611606;RECIFE;22826
5006764;2605459;FERNANDO DE NORONHA;2408102;NATAL;21714
5113409;2611606;RECIFE;2507507;JOÃO PESSOA;20547
5319303;2611606;RECIFE;2704302;MACEIÓ;31539
5014853;2611606;RECIFE;2408102;NATAL;46983
7911710;2611606;RECIFE;5300108;BRASÍLIA;53052
4916002;2611606;RECIFE;2304400;FORTALEZA;70369
5539010;2611606;RECIFE;2927408;SALVADOR;80598
5916159;2611606;RECIFE;3304557;RIO DE JANEIRO;96914
6130402;2611606;RECIFE;3550308;SÃO PAULO;148273
8007809;2704302;MACEIÓ;5300108;BRASÍLIA;24222
5319307;2704302;MACEIÓ;2611606;RECIFE;36286
5727716;2800308;ARACAJU;2927408;SALVADOR;66759
5841014;2913606;ILHÉUS;2927408;SALVADOR;52132
7240205;2925303;PORTO SEGURO;4314902;PORTO ALEGRE;27128
6229860;2925303;PORTO SEGURO;3304557;RIO DE JANEIRO;27937
6434805;2925303;PORTO SEGURO;3509502;CAMPINAS;29094
5852711;2927408;SALVADOR;2925303;PORTO SEGURO;20250
5429215;2927408;SALVADOR;2507507;JOÃO PESSOA;29405
5231808;2927408;SALVADOR;2304400;FORTALEZA;61663
6045284;2927408;SALVADOR;3106200;BELO HORIZONTE;68451
5539014;2927408;SALVADOR;2611606;RECIFE;76052
5635109;2927408;SALVADOR;2704302;MACEIÓ;83418
6446208;2927408;SALVADOR;3550308;SÃO PAULO;454966
6031503;3106200;BELO HORIZONTE;2925303;PORTO SEGURO;40067
8406308;3106200;BELO HORIZONTE;5300108;BRASÍLIA;64622
6323185;3106200;BELO HORIZONTE;3205309;VITÓRIA;75258
6410757;3106200;BELO HORIZONTE;3304557;RIO DE JANEIRO;190713
6636676;3106200;BELO HORIZONTE;3550308;SÃO PAULO;335345
6265153;3158953;SANTANA DO PARAÍSO;3106200;BELO HORIZONTE;20567
6709261;3158953;SANTANA DO PARAÍSO;3550308;SÃO PAULO;22313
6720514;3170206;UBERLÂNDIA;3550308;SÃO PAULO;65939
6755213;3205309;VITÓRIA;3549904;SÃO JOSÉ DOS CAMPOS;21670
5415857;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;21557
6104865;3304557;RIO DE JANEIRO;2800308;ARACAJU;37698
6012258;3304557;RIO DE JANEIRO;2704302;MACEIÓ;39469
