Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.79,0.79,0.79,0.79,0.98
2,0.74,0.74,0.74,0.71,0.97
3,0.73,0.61,0.61,0.67,0.95
4,0.67,0.53,0.56,0.59,0.94
5,0.59,0.48,0.48,0.48,0.91
6,0.52,0.41,0.41,0.44,0.89
7,0.38,0.38,0.38,0.38,0.86
8,0.32,0.32,0.30,0.38,0.85
9,0.24,0.26,0.30,0.35,0.83
10,0.20,0.26,0.24,0.32,0.82
11,0.09,0.23,0.18,0.29,0.77
12,0.06,0.17,0.15,0.26,0.74
13,0.06,0.14,0.06,0.24,0.71
14,0.06,0.06,0.06,0.23,0.70
15,0.06,0.06,0.06,0.21,0.68
16,0.06,0.03,0.06,0.21,0.67
17,0.06,0.03,0.06,0.20,0.67
18,0.05,0.03,0.06,0.20,0.65
19,0.05,0.03,0.06,0.18,0.64
20,0.05,0.03,0.06,0.11,0.62
21,0.05,0.03,0.03,0.11,0.61
22,0.03,0.03,0.03,0.11,0.59
23,0.03,0.03,0.03,0.11,0.58
24,0.03,0.03,0.03,0.11,0.58
25,0.03,0.03,0.03,0.11,0.58
26,0.03,0.03,0.03,0.11,0.56
27,0.03,0.03,0.03,0.11,0.55
28,0.03,0.03,0.03,0.11,0.53
29,0.03,0.03,0.03,0.11,0.52
30,0.03,0.03,0.03,0.11,0.50
31,0.03,0.03,0.03,0.11,0.48
32,0.03,0.03,0.03,0.11,0.47
33,0.03,0.03,0.03,0.11,0.45
34,0.02,0.03,0.03,0.11,0.44
35,0.02,0.03,0.03,0.11,0.42
36,0.02,0.03,0.03,0.11,0.41
37,0.02,0.03,0.03,0.11,0.39
38,0.02,0.03,0.03,0.11,0.36
39,0.02,0.02,0.03,0.11,0.35
40,0.02,0.02,0.03,0.11,0.33
41,0.02,0.02,0.03,0.11,0.33
42,0.02,0.02,0.03,0.08,0.29
43,0.02,0.02,0.03,0.08,0.29
44,0.02,0.02,0.02,0.08,0.27
45,0.02,0.02,0.02,0.08,0.26
46,0.02,0.02,0.02,0.08,0.24
47,0.02,0.02,0.02,0.08,0.23
48,0.02,0.02,0.02,0.08,0.21
49,0.02,0.02,0.02,0.08,0.20
50,0.02,0.02,0.02,0.08,0.20
51,0.02,0.02,0.02,0.08,0.20
52,0.02,0.02,0.02,0.08,0.17
53,0.02,0.02,0.02,0.08,0.15
54,0.02,0.02,0.02,0.08,0.14
55,0.02,0.02,0.02,0.08,0.06
56,0.02,0.02,0.02,0.08,0.06
57,0.02,0.02,0.02,0.08,0.06
58,0.02,0.02,0.02,0.08,0.06
59,0.02,0.02,0.02,0.02,0.05
60,0.02,0.02,0.02,0.02,0.02
61,0.02,0.02,0.02,0.02,0.02
62,0.02,0.02,0.02,0.02,0.02
63,0.02,0.02,0.02,0.02,0.02
64,0.02,0.02,0.02,0.02,0.02
65,0.02,0.02,0.02,0.02,0.02
66,0.02,0.02,0.02,0.02,0.02
